date,soil_moisture_percent,air_temperature_celsius
2018/7/6 17:04,20.35,27.67
2018/7/6 17:19,20.72,27.13
2018/7/6 17:34,20.59,25.61
2018/7/6 17:49,20.09,25.29
2018/7/6 18:04,20.21,25.2
2018/7/6 18:19,19.96,24.48
2018/7/6 18:34,20.08,23.74
2018/7/6 18:49,19.83,23.42
2018/7/6 19:04,19.83,23.56
2018/7/6 19:19,20.08,23.14
2018/7/6 19:34,19.95,22.77
2018/7/6 19:49,19.45,22.54
2018/7/6 20:04,20.07,22.26
2018/7/6 20:19,19.45,21.97
2018/7/6 20:34,19.7,21.83
2018/7/6 20:49,19.7,21.79
2018/7/6 21:04,19.82,21.69
2018/7/6 21:19,19.82,21.69
2018/7/6 21:34,19.32,21.88
2018/7/6 21:49,19.44,21.45
2018/7/6 22:04,19.57,21.41
2018/7/6 22:19,19.07,21.31
2018/7/6 22:34,19.44,21.26
2018/7/6 22:49,19.44,21.17
2018/7/6 23:04,19.07,21.17
2018/7/6 23:19,19.31,21.17
2018/7/6 23:34,19.06,21.07
2018/7/6 23:49,19.44,21.03
2018/7/7 00:04,19.06,21.17
2018/7/7 00:19,19.19,21.03
2018/7/7 00:34,19.19,20.93
2018/7/7 00:49,19.06,20.83
2018/7/7 01:04,19.18,20.83
2018/7/7 01:19,18.81,20.83
2018/7/7 01:34,19.06,20.74
2018/7/7 01:49,18.93,20.59
2018/7/7 02:04,18.93,20.64
2018/7/7 02:19,18.68,20.69
2018/7/7 02:34,19.06,20.69
2018/7/7 02:49,18.81,20.64
2018/7/7 03:04,18.81,20.59
2018/7/7 03:19,18.93,20.59
2018/7/7 03:34,19.05,20.55
2018/7/7 03:49,18.8,20.55
2018/7/7 04:04,18.43,20.5
2018/7/7 04:19,18.55,20.35
2018/7/7 04:34,18.43,20.45
2018/7/7 04:49,18.68,20.5
2018/7/7 05:04,18.43,20.5
2018/7/7 05:19,18.8,20.5
2018/7/7 05:34,18.55,20.4
2018/7/7 05:49,18.3,20.35
2018/7/7 06:04,18.42,20.5
2018/7/7 06:19,18.67,20.74
2018/7/7 06:34,18.42,21.03
